round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Third,Andy Murray,7-5 6-0 6-3,2009,m,Andy Murray,Jurgen Melzer,GBR,AUT,60%,70%,8,2,0,1,78%,58%,52%,25%,216.0,201.0,182.0,179.0,137.0,142.0,50%,25%,52%,33%,96,65,32.0,29.0,10.0,30.0,58%,58%
Third,Rafael Nadal,6-4 6-2 6-2,2009,m,Rafael Nadal,Tommy Haas,ESP,GER,69%,62%,4,6,0,0,81%,57%,79%,41%,200.0,198.0,183.0,182.0,142.0,151.0,33%,100%,49%,19%,98,62,53.0,25.0,8.0,25.0,87%,57%
Third,Gilles Simon,7-6(2) 6-4 6-2,2009,m,Gilles Simon,Mario Ancic,FRA,CRO,59%,53%,0,7,1,3,70%,71%,54%,44%,196.0,206.0,172.0,190.0,135.0,153.0,50%,17%,42%,36%,115,99,36.0,29.0,35.0,49.0,69%,68%
Third,Tommy Robredo,6-1 6-3 6-2,2009,m,Tommy Robredo,Yen-Hsun Lu,ESP,TPE,75%,63%,7,1,1,2,74%,58%,56%,31%,196.0,190.0,167.0,177.0,153.0,145.0,64%,25%,52%,31%,86,56,32.0,12.0,21.0,33.0,88%,57%
Third,Andy Roddick,6-3 6-4 6-2,2009,m,Andy Roddick,Fabrice Santoro,USA,FRA,73%,57%,22,4,1,2,85%,69%,65%,47%,211.0,192.0,195.0,169.0,171.0,134.0,36%,0%,41%,21%,90,62,50.0,20.0,19.0,12.0,70%,50%
Third,Marin Cilic,7-6(5) 6-3 6-4,2009,m,Marin Cilic,David Ferrer,CRO,ESP,59%,70%,7,0,0,3,68%,59%,59%,70%,209.0,185.0,196.0,169.0,145.0,140.0,40%,50%,38%,36%,103,94,33.0,13.0,46.0,39.0,74%,85%
Third,Marcos Baghdatis,6-2 6-4 6-4,2009,m,Marcos Baghdatis,Mardy Fish,CYP,USA,54%,54%,5,10,4,4,80%,60%,47%,47%,200.0,219.0,187.0,188.0,148.0,148.0,43%,67%,46%,35%,105,89,34.0,27.0,29.0,45.0,78%,47%
Third,Tomas Berdych,4-6 6-1 6-3 6-4,2009,m,Tomas Berdych,Stanislas Wawrinka,CZE,SUI,63%,51%,9,9,3,2,77%,66%,44%,48%,208.0,204.0,193.0,187.0,161.0,146.0,25%,14%,43%,35%,136,119,49.0,39.0,46.0,49.0,74%,62%
Third,Novak Djokovic,6-2 4-6 6-3 7-6(4),2009,m,Novak Djokovic,Amer Delic,SRB,BIH,65%,59%,11,16,4,6,79%,77%,52%,44%,208.0,224.0,193.0,206.0,153.0,171.0,38%,11%,37%,31%,139,123,30.0,46.0,27.0,56.0,65%,68%
Third,Roger Federer,6-3 6-2 7-6(5),2009,m,Roger Federer,Marat Safin,SUI,RUS,60%,51%,9,14,1,2,85%,63%,64%,59%,208.0,212.0,192.0,201.0,158.0,154.0,75%,-,39%,24%,103,76,26.0,33.0,28.0,33.0,46%,43%
Third,Juan Martin Del Potro,6-7(5) 7-5 6-3 7-5,2009,m,Juan Martin Del Potro,Gilles Muller,ARG,LUX,73%,64%,12,22,3,9,83%,70%,62%,43%,206.0,206.0,177.0,187.0,146.0,158.0,17%,33%,40%,23%,168,137,62.0,71.0,25.0,62.0,80%,70%
Second,Richard Gasquet,6-3 6-4 6-4,2009,m,Richard Gasquet,Denis Istomin,FRA,UZB,53%,60%,7,5,4,2,78%,67%,63%,34%,211.0,196.0,188.0,183.0,153.0,146.0,31%,33%,46%,29%,106,76,35.0,21.0,29.0,35.0,70%,67%
Second,Andy Murray,6-4 6-2 6-2,2009,m,Andy Murray,Marcel Granollers,GBR,ESP,57%,52%,4,2,1,1,73%,56%,65%,47%,208.0,200.0,177.0,180.0,135.0,146.0,38%,50%,48%,30%,100,72,37.0,18.0,31.0,27.0,83%,46%
Second,James Blake,6-3 6-2 6-3,2009,m,James Blake,Sebastien de Chaunac,USA,FRA,63%,48%,4,9,5,7,84%,63%,53%,45%,196.0,193.0,177.0,182.0,148.0,142.0,28%,0%,47%,27%,109,79,28.0,33.0,26.0,40.0,68%,71%
Second,Mario Ancic,5-7 7-5 4-6 6-4 6-3,2009,m,Mario Ancic,Ivo Karlovic,CRO,CRO,64%,65%,8,25,1,2,79%,78%,68%,46%,200.0,217.0,193.0,198.0,154.0,161.0,50%,50%,33%,25%,149,137,51.0,49.0,29.0,42.0,73%,49%
Second,Igor Andreev,6-4 6-4 5-7 3-6 6-4,2009,m,Igor Andreev,Ernests Gulbis,RUS,LAT,59%,64%,9,14,7,8,73%,68%,54%,49%,196.0,211.0,167.0,195.0,148.0,161.0,24%,25%,39%,35%,179,173,44.0,53.0,70.0,80.0,59%,63%
Second,Fernando Verdasco,6-1 6-1 6-2,2009,m,Fernando Verdasco,Arnaud Clement,ESP,FRA,84%,63%,7,2,1,3,83%,44%,78%,45%,211.0,196.0,172.0,175.0,150.0,143.0,54%,0%,56%,18%,90,45,28.0,12.0,12.0,31.0,75%,57%
Second,Tommy Haas,6-1 6-2 6-1,2009,m,Tommy Haas,Flavio Cipolla,GER,ITA,51%,76%,7,0,2,8,74%,56%,67%,13%,201.0,163.0,192.0,146.0,158.0,135.0,40%,50%,55%,30%,95,61,36.0,15.0,27.0,29.0,66%,56%
Second,Gilles Simon,6-7(5) 6-4 6-1 6-2,2009,m,Gilles Simon,Chris Guccione,FRA,AUS,54%,63%,14,12,2,3,84%,65%,61%,58%,195.0,211.0,175.0,188.0,135.0,161.0,45%,0%,38%,26%,132,107,53.0,41.0,15.0,37.0,80%,45%
